"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"17","tt0318403","Mon Jul  2 00:37:39 2012","Mon Jul  2 00:37:39 2012","","The Lion King 1½","Video","Bradley Raymond","6.5","77","2004","animation, comedy, family, adventure","12037","2004-02-10","http://www.imdb.com/title/tt0318403/"
"18","tt0441773","Sun Jul  1 23:39:33 2012","Sun Jul  1 23:39:33 2012","","Kung Fu Panda","Feature Film","Mark Osborne, John Stevenson","7.6","90","2008","animation, action, adventure, comedy, family","151118","2008-05-15","http://www.imdb.com/title/tt0441773/"
"19","tt1192628","Sun Jul  1 23:50:57 2012","Sun Jul  1 23:50:57 2012","","Rango","Feature Film","Gore Verbinski","7.4","107","2011","animation, adventure, comedy, family, western","92956","2011-02-14","http://www.imdb.com/title/tt1192628/"
"20","tt0317219","Sun Jul  1 23:41:46 2012","Sun Jul  1 23:41:46 2012","","Cars","Feature Film","John Lasseter, Joe Ranft","7.3","117","2006","animation, adventure, comedy, family, sport","122285","2006-03-14","http://www.imdb.com/title/tt0317219/"
"21","tt0198781","Sun Jul  1 23:41:39 2012","Sun Jul  1 23:41:39 2012","","Monsters, Inc.","Feature Film","Pete Docter, David Silverman","8.0","92","2001","animation, adventure, comedy, family, fantasy","245506","2001-10-28","http://www.imdb.com/title/tt0198781/"
"22","tt0015864","Sun Jul  1 23:40:56 2012","Sun Jul  1 23:40:56 2012","","The Gold Rush","Feature Film","Charles Chaplin","8.3","","1925","adventure, comedy, family, romance, western","33669","1925-06-26","http://www.imdb.com/title/tt0015864/"
"23","tt0110357","Sun Jul  1 23:44:43 2012","Sun Jul  1 23:44:43 2012","","The Lion King","Feature Film","Roger Allers, Rob Minkoff","8.4","89","1994","animation, adventure, comedy, drama, family, musical","279530","1994-06-15","http://www.imdb.com/title/tt0110357/"
"24","tt0414853","Mon Jul  2 00:22:55 2012","Mon Jul  2 00:22:55 2012","","Barnyard","Feature Film","Steve Oedekerk","5.5","90","2006","animation, comedy, family","12511","2006-08-04","http://www.imdb.com/title/tt0414853/"
"25","tt0126029","Sun Jul  1 23:43:56 2012","Sun Jul  1 23:43:56 2012","","Shrek","Feature Film","Andrew Adamson, Vicky Jenson","7.9","90","2001","animation, adventure, comedy, family, fantasy","261513","2001-04-22","http://www.imdb.com/title/tt0126029/"
"26","tt0012349","Sun Jul  1 23:34:05 2012","Sun Jul  1 23:34:05 2012","","The Kid","Feature Film","Charlie Chaplin","8.3","68","1921","comedy, drama, family","27006","1921-01-21","http://www.imdb.com/title/tt0012349/"
"27","tt0438097","Sun Jul  1 23:48:25 2012","Sun Jul  1 23:48:25 2012","","Ice Age: The Meltdown","Feature Film","Carlos Saldanha","6.9","91","2006","animation, action, adventure, comedy, family, fantasy, romance","96721","2006-03-01","http://www.imdb.com/title/tt0438097/"
"28","tt0327084","Sun Jul  1 23:49:46 2012","Sun Jul  1 23:49:46 2012","","Over the Hedge","Feature Film","Tim Johnson, Karey Kirkpatrick","6.9","83","2006","animation, adventure, comedy, family","72101","2006-04-22","http://www.imdb.com/title/tt0327084/"
"29","tt0351283","Sun Jul  1 23:48:46 2012","Sun Jul  1 23:48:46 2012","","Madagascar","Feature Film","Eric Darnell, Tom McGrath","6.8","86","2005","animation, adventure, comedy, family","124558","2005-05-25","http://www.imdb.com/title/tt0351283/"
"30","tt0892769","Sun Jul  1 23:45:56 2012","Sun Jul  1 23:45:56 2012","","How to Train Your Dragon","Feature Film","Dean DeBlois, Chris Sanders","8.2","98","2010","animation, adventure, comedy, drama, family, fantasy","176678","2010-03-18","http://www.imdb.com/title/tt0892769/"
"31","tt0479952","Sun Jul  1 23:48:54 2012","Sun Jul  1 23:48:54 2012","","Madagascar: Escape 2 Africa","Feature Film","Eric Darnell, Tom McGrath","6.7","89","2008","animation, action, adventure, comedy, family","67701","2008-10-30","http://www.imdb.com/title/tt0479952/"
"32","tt0432283","Mon Jul  2 00:01:18 2012","Mon Jul  2 00:01:18 2012","","Fantastic Mr. Fox","Feature Film","Wes Anderson","7.8","87","2009","animation, adventure, comedy, family","68474","2009-10-14","http://www.imdb.com/title/tt0432283/"
"33","tt0983193","Sun Jul  1 23:51:16 2012","Sun Jul  1 23:51:16 2012","","The Adventures of Tintin","Feature Film","Steven Spielberg","7.4","107","2011","animation, action, adventure, family, mystery","96606","2011-10-23","http://www.imdb.com/title/tt0983193/"
"34","tt0443536","Mon Jul  2 00:25:24 2012","Mon Jul  2 00:25:24 2012","","Hoodwinked!","Feature Film","Cory Edwards, Todd Edwards","6.6","80","2005","animation, comedy, family","30526","2004-05-16","http://www.imdb.com/title/tt0443536/"
